Sample Name	190313-POS-SWATH-HL60-HEK_ValiMix	Blank	Blank
Sample ID			
Sample Type	Unknown	Unknown	Unknown
HMDB0000121+H	9672.840723	N/A	N/A
HMDB0015656+H211.124725	N/A	N/A	N/A
HMDB0015656+H212.126205	N/A	N/A	N/A
HMDB0015656+H141.070236	N/A	N/A	56.98359114
HMDB0015656+H_B	N/A	N/A	N/A
HMDB0015646+Na186.1048	74.80052761	18.58515188	14.93561789
HMDB0015646+Na133.0638	N/A	N/A	46.47770705
HMDB0015646+Na265.1992	N/A	61.79319897	72.88457173
HMDB0015646+Na201.1273	N/A	N/A	N/A
HMDB0015646+Na264.1957	148.4409112	128.3865886	179.7355955
HMDB0015646+Na133.0648	N/A	52.11898054	N/A
HMDB0015646+Na201.1274	N/A	N/A	N/A
HMDB0015646+Na246.1855	16.25506648	18.27253694	12.59108849
HMDB0015646+Na_B	93.94627071	49.77940838	58.74950095
HMDB0015646+Na105.0699	2487.322631	364.4037187	402.0830322
HMDB0015646+Na79.0542	2460.082075	2652.711643	2448.295959
HMDB0015646+Na246.1853	15.88370563	18.50814857	12.53189155
HMDB0015646+Na141.0686	N/A	31.02797462	49.50430514
HMDB0015646+Na58.0653	2119.767173	2054.040614	1578.395031
HMDB0015646+Na159.0805	N/A	49.026418	37.49883418
HMDB0015646+Na264.1956	148.8800636	128.9956185	179.0888873
HMDB0015646+Na58.0655	2114.408548	2012.304371	1553.159648
HMDB0015646+Na107.0491	N/A	136.1043496	117.9295598
HMDB0015646+Na246.1849	13.71886375	18.75283143	12.4134976
HMDB0015646+Na145.0649	103.8991625	59.31848017	131.5289541
HMDB0015646+Na58.0654	2117.087859	2033.197032	1565.777334
HMDB0015646+Na145.0634	96.20342988	63.59199079	132.2067807
HMDB0015646+Na133.0647	N/A	50.97320171	N/A
HMDB0015646+Na133.0646	N/A	49.85979274	N/A
HMDB0015646+Na95.0491	167.5670271	127.796302	246.0509182
HMDB0015646+Na79.0543	2473.481012	2643.214642	2440.604018
HMDB0015646+Na107.0493	N/A	134.6506344	118.0873422
HMDB0015646+Na201.1265	N/A	N/A	N/A
HMDB0015646+Na58.0651	2125.125807	2095.902689	1603.630459
HMDB0015646+Na133.0649	N/A	53.38347808	N/A
HMDB0015646+Na159.0804	N/A	49.23697639	36.8336674
