"#","Name","Formula","Include","Mass (Da)","Found At Mass (Da)","Control Found At Mass (Da)","Width (Da)","Adduct","Expected RT (min)","RT Width (min)","Found At RT (min)","Control Found At RT (min)","Library Score","Library Hit","Formula Finder Result","Intensity","Control Intensity","Known Concentration","Calculated Concentration","Area","Control Area","Isotope","Threshold (cps)","Threshold (ratio of control)","Formula Finder Score","Int Std","Combined Score","Mass Error Score","RT Score","Isotope Score","Non-Targeted Peak","S:N","Fragment Mass (Da)","Comments","Extraction Mass (Da)","Error (ppm)","Control Error (ppm)","Error (mDa)","Control Error (mDa)","RT Delta (min)","Control RT Delta (min)","RT % Error","Control RT % Error"
"421","HMDB0015200","C21H27N5O4S","True","445.17837648","445.180253928228","","0.01","","0","1","13.1934518557876","","0","No Match","","4528.87527873437","","","","188.717435029387","","0","100","5","-1","False","0.834862813897713","0.915654114076868","-1","0.713675863628982","False","166.794122044406","","","445.17837648","4.21729429615662","","1.87744822790137","","13.1934518557876","","0",""
"426","HMDB0014415","C19H21N3O5","True","371.148121064","371.146699362954","","0.01","","0","1","10.8474022608192","","0","No Match","","7566.5328117676","","","","389.329251279504","","0","100","5","-1","False","0.879312441136927","0.923389020981174","-1","0.813197571370556","False","261.555983597262","","","371.148121064","-3.8305489509413","","-1.42170104578554","","10.8474022608192","","0",""
"433","HMDB0000159","C9H11NO2","True","165.078978728","165.0761651773","","0.01","","0","1","8.21654348249123","","0","No Match","","29178.8116061683","","","","2114.64668568326","","0","100","5","-1","False","0.766625955713619","0.659126713541598","-1","0.927874818971652","False","1084.19817956911","","","165.078978728","-17.0436643229201","","-2.8135507002105","","8.21654348249123","","0",""
"435","HMDB0014781","C16H13N3O3","True","295.095691464","295.094632907776","","0.01","","0","1","6.28856840917549","","0","No Match","","5088.09188360971","","","","205.307240074429","","0","100","5","-1","False","0.86820646450438","0.928256748241364","-1","0.778131038898904","False","138.262071239462","","","295.095691464","-3.58716258793181","","-1.05855622427953","","6.28856840917549","","0",""
"436","HMDB0014389","C7H7NO3","True","153.042593208","153.041297529067","","0.01","","0","1","1.92201559791146","","0","No Match","","5807.398788575","","","","340.916767758267","","0","100","5","-1","False","0.842537092219319","0.830677342027865","-1","0.8603267175065","False","332.562232768377","","","153.042593208","-8.46613289860673","","-1.29567893324634","","1.92201559791146","","0",""
"437","HMDB0015094","C22H30O5","True","374.2093244","374.204370032566","","0.01","","0","1","18.0217201833249","","0","No Match","","10714.054436697","","","","1564.96574123439","","0","100","5","-1","False","0.762826339116502","0.735208766274046","-1","0.804252698380186","False","194.906474949087","","","374.2093244","-13.2395616862977","","-4.95436743398159","","18.0217201833249","","0",""
"453","HMDB0014830","C17H19N3O","True","281.152812424","281.15278819288","","0.01","","0","1","15.4307646186781","","0","No Match","","1152.08565811408","","","","73.0405825871151","","0","100","5","-1","False","0.728936110146186","0.998276302504087","-1","0.324925821609334","False","21.1822932769362","","","281.152812424","-0.0861848747956685","","-0.0242311199372125","","15.4307646186781","","0",""
"456","HMDB0000239","C8H11NO3","True","169.073893368","169.07544615168","","0.01","","0","1","7.67296128412438","","0","No Match","","2256","","","","111.467938857829","","0","100","5","-1","False","0.800837736262549","0.816318930259068","-1","0.77761594526777","False","73.9923630164414","","","169.073893368","9.18405348704661","","1.55278367995493","","7.67296128412438","","0",""
"459","HMDB0000244","C17H20N4O6","True","376.138284672","376.141933746612","","0.01","","0","1","10.1325683970941","","0","No Match","","4114.99734062765","","","","233.701159763269","","0","100","5","-1","False","0.840046794141729","0.805971646015691","-1","0.891159516330787","False","152.052736566676","","","376.138284672","9.70141769921547","","3.64907461226949","","10.1325683970941","","0",""
"463","HMDB0014535","C15H23N3O4S","True","341.140928304","341.138568822225","","0.01","","0","1","17.5608166666667","","0","No Match","","2707.27613816367","","","","68.0924952914439","","0","100","5","-1","False","0.818811244793595","0.861671140634398","-1","0.75452140103239","False","45.7766926282639","","","341.140928304","-6.91644296828012","","-2.35948177476075","","17.5608166666667","","0",""
"466","HMDB0000235","C12H17N4OS","True","265.112308152","265.11228971142","","0.01","","0","1","1.43656962169495","","0","No Match","","90412.7204569504","","","","4522.71436707263","","0","100","5","-1","False","0.945743771645349","0.998608847707302","-1","0.866446157552419","False","1200.93613994913","","","265.112308152","-0.0695576146349193","","-0.0184405797654108","","1.43656962169495","","0",""
"468","HMDB0015047","C8H13N3O4S","True","247.062677904","247.05862522146","","0.01","","0","1","5.61768649308574","","0","No Match","","62917.698721306","","","","4782.97085774834","","0","100","5","-1","False","0.763515681493522","0.671930817391535","-1","0.900892977646503","False","1963.35171892924","","","247.062677904","-16.4034591304232","","-4.05268253965119","","5.61768649308574","","0",""
"475","HMDB0000305","C20H30O","True","286.22966584","286.229672951785","","0.01","","0","1","21.307359578975","","0","No Match","","3450.63985518322","","","","189.227971040174","","0","100","5","-1","False","0.926045207905477","0.999503071428179","-1","0.815858412621424","False","99.4413523837023","","","286.22966584","0.0248464285910724","","0.00711178495294007","","21.307359578975","","0",""
