Sample Name	190313-POS-SWATH-HL60-HEK_ValiMix	Blank	Blank
Sample ID			
Sample Type	Unknown	Unknown	Unknown
HMDB0000121+H	0.096168823	N/A	N/A
HMDB0015656+H211.124725	N/A	N/A	N/A
HMDB0015656+H212.126205	N/A	N/A	N/A
HMDB0015656+H141.070236	N/A	N/A	0.094026405
HMDB0015656+H_B	N/A	N/A	N/A
HMDB0015646+Na186.1048	0.101459674	0.125957105	0.084349994
HMDB0015646+Na133.0638	N/A	N/A	0.093394612
HMDB0015646+Na265.1992	N/A	0.13021357	0.103959538
HMDB0015646+Na201.1273	N/A	N/A	N/A
HMDB0015646+Na264.1957	0.094554921	0.09031382	0.09670931
HMDB0015646+Na133.0648	N/A	0.099134688	N/A
HMDB0015646+Na201.1274	N/A	N/A	N/A
HMDB0015646+Na246.1855	0.085916671	0.121276485	0.09661551
HMDB0015646+Na_B	0.107215058	0.13282414	0.118802896
HMDB0015646+Na105.0699	0.091388291	0.087026761	0.094560021
HMDB0015646+Na79.0542	0.120900462	0.113793898	0.124959053
HMDB0015646+Na246.1853	0.084152437	0.122256192	0.096689992
HMDB0015646+Na141.0686	N/A	0.139282305	0.112381503
HMDB0015646+Na58.0653	0.10370385	0.103070605	0.109040785
HMDB0015646+Na159.0805	N/A	0.10569114	0.081599683
HMDB0015646+Na264.1956	0.094498561	0.090371863	0.096665884
HMDB0015646+Na58.0655	0.103963163	0.10297411	0.109015313
HMDB0015646+Na107.0491	N/A	0.097870638	0.113739373
HMDB0015646+Na246.1849	0.072080363	0.120539175	0.096886597
HMDB0015646+Na145.0649	0.107022927	0.121287776	0.110495386
HMDB0015646+Na58.0654	0.103833592	0.103023686	0.109028151
HMDB0015646+Na145.0634	0.10985088	0.122803199	0.12005334
HMDB0015646+Na133.0647	N/A	0.098801461	N/A
HMDB0015646+Na133.0646	N/A	0.098481773	N/A
HMDB0015646+Na95.0491	0.196019473	0.08585849	0.133773132
HMDB0015646+Na79.0543	0.119992077	0.113607001	0.125268913
HMDB0015646+Na107.0493	N/A	0.098763375	0.113423861
HMDB0015646+Na201.1265	N/A	N/A	N/A
HMDB0015646+Na58.0651	0.10344386	0.103168655	0.10906546
HMDB0015646+Na133.0649	N/A	0.099663281	N/A
HMDB0015646+Na159.0804	N/A	0.108829358	0.081482521
HMDB0015646+Na145.0648	0.107244759	0.121611003	0.111095675
HMDB0015646+Na247.1879	N/A	N/A	N/A
HMDB0015646+Na264.1955	0.094430702	0.090362871	0.096622249
HMDB0015646+Na121.0645	N/A	0.175553613	0.112653373
HMDB0015646+Na134.0673	0.096593071	0.10432097	0.151202915
HMDB0015646+Na159.0794	N/A	0.137216723	0.077718965
HMDB0015646+Na202.1299	N/A	N/A	N/A
HMDB0015646+Na160.0827	0.168870707	0.086708467	0.124296005
HMDB0015646+Na163.0981	N/A	0.113555456	0.094348823
HMDB0015646+Na164.1057	0.107365538	0.104666703	0.116003239
HMDB0015646+Na201.1275	N/A	N/A	N/A
HMDB0015646+Na115.054	0.102946265	0.147942094	0.130061464
HMDB0015646+Na121.0639	N/A	0.185450797	0.111254333
HMDB0015646+Na246.1848	0.072135979	0.120051209	0.096998861
HMDB0015646+Na201.1266	N/A	N/A	N/A
HMDB0015646+Na131.085	0.10912091	0.116528771	0.110804965
HMDB0015646+Na81.0699	0.093491112	0.099075554	0.090681183
HMDB0015646+Na262.1814	N/A	0.078463153	0.174360262
HMDB0015646+Na119.0501	N/A	N/A	N/A
HMDB0015646+Na204.1155	N/A	0.156270563	0.103146574
HMDB0015646+Na262.1812	0.129228845	0.078975421	0.175536854
HMDB0015646+Na185.0971	N/A	0.156064654	N/A
HMDB0015646+Na159.079	N/A	0.139570703	0.080945036
HMDB0015646+Na186.1049	0.101398374	0.126043986	0.084479439
HMDB0015646+Na246.1851	0.071993264	0.121498735	0.096780222
HMDB0015646+Na264.196	0.094732954	0.09700322	0.096834597
HMDB0015646+Na107.0492	N/A	0.098317238	0.113728511
HMDB0015646+Na157.063	N/A	N/A	N/A
HMDB0015646+Na133.064	N/A	0.096317856	0.093584939
HMDB0015646+Na131.0487	N/A	0.097382696	0.104245136
HMDB0015646+Na141.0692	N/A	0.133441958	0.1130852
HMDB0015646+Na115.0539	0.102809613	0.148541413	0.130412626
HMDB0015646+Na144.056	N/A	N/A	N/A
HMDB0015646+Na131.0484	N/A	0.096873146	0.104657187
HMDB0015646+Na129.0691	0.102794241	0.098170923	0.100059242
HMDB0015646+Na127.0538	N/A	0.099099838	0.115518882
HMDB0015646+Na121.0638	N/A	0.186944892	0.110987321
HMDB0015646+Na117.0694	0.106223193	0.111405241	0.116414874
HMDB0015646+Na116.0608	0.096982516	0.126359235	0.101456126
HMDB0015646+Na147.0788	0.099944147	0.091411232	0.096838288
HMDB0015646+Na163.0979	N/A	0.11341533	0.093684994
HMDB0015646+Na159.0795	N/A	0.136313271	0.077392028
HMDB0015646+Na149.0823	0.095474271	N/A	0.107353278
HMDB0015646+Na131.0844	0.110414372	0.119573275	0.110421828
HMDB0015646+Na145.0637	0.109586	0.122731965	0.118324821
HMDB0015646+Na144.0557	N/A	N/A	N/A
HMDB0015646+Na246.1852	0.071949269	0.121962559	0.096733114
HMDB0015646+Na132.0556	N/A	0.140991024	0.088564182
HMDB0015646+Na169.0742	N/A	0.101629761	0.080038489
HMDB0015646+Na145.0635	0.10973112	0.122691339	0.119541256
HMDB0015646+Na134.0671	0.095898274	0.103191127	0.148293505
HMDB0015646+Na147.0791	0.100182762	0.091291107	0.096552164
HMDB0015646+Na149.0822	0.096532804	N/A	0.107326581
HMDB0015646+Na133.0639	N/A	N/A	0.093489241
HMDB0015646+Na155.0595	0.092641304	0.116529086	N/A
HMDB0015646+Na246.1856	0.087316155	0.120565685	0.096584054
HMDB0015646+Na246.1859	0.091435899	0.119028963	0.096139233
HMDB0015646+Na264.1962	0.094881137	0.09713094	0.097023454
HMDB0015646+Na58.0652	0.103573938	0.103120031	0.10905322
HMDB0015646+Na107.049	N/A	0.097548923	0.114088382
HMDB0015646+Na134.0674	0.096917563	0.104432222	0.153227133
HMDB0015646+NH479.0542	N/A	N/A	N/A
HMDB0015646+NH4246.1855	0.14623377	0.092594033	N/A
HMDB0015646+NH4246.1853	0.14576459	0.092508239	N/A
HMDB0015646+NH4201.1273	N/A	N/A	N/A
HMDB0015646+NH4264.1957	0.087091737	N/A	N/A
HMDB0015646+NH4201.1274	N/A	N/A	N/A
HMDB0015646+NH4133.0648	N/A	N/A	N/A
HMDB0015646+NH4105.0699	N/A	N/A	N/A
HMDB0015646+NH4145.0648	N/A	N/A	N/A
HMDB0015646+NH4264.1962	0.086926914	N/A	N/A
HMDB0015646+NH458.0652	N/A	N/A	N/A
HMDB0015646+NH458.0651	N/A	N/A	N/A
HMDB0015646+NH4159.0805	0.096101159	0.108745779	N/A
HMDB0015646+NH4159.0804	0.096670001	0.108968643	N/A
HMDB0015646+NH4246.1856	0.146472318	0.092636928	N/A
HMDB0015646+NH4133.0649	N/A	N/A	N/A
HMDB0015646+NH4107.0492	N/A	N/A	N/A
HMDB0015646+NH4107.0493	N/A	N/A	N/A
HMDB0015646+NH4246.1859	0.147204518	0.0927656	N/A
HMDB0015646+NH458.0655	N/A	N/A	N/A
HMDB0015646+NH458.0653	N/A	N/A	N/A
HMDB0015646+NH4202.1299	N/A	N/A	N/A
HMDB0015646+NH479.0543	N/A	N/A	N/A
HMDB0015646+NH495.0491	N/A	N/A	N/A
HMDB0015646+NH4133.0646	N/A	N/A	N/A
HMDB0015646+NH4133.0647	N/A	N/A	N/A
HMDB0015646+NH4145.0649	N/A	N/A	N/A
HMDB0015646+NH4163.0981	N/A	N/A	N/A
HMDB0015646+NH4160.0827	0.086969194	0.111977244	0.142199947
HMDB0015646+NH4159.0794	N/A	0.112077016	N/A
HMDB0015646+NH4141.0686	0.111300557	0.119505248	N/A
