Accuracy For QCs Used	Accuracy For Stds Used	Baseline Sub. Window	Calc Conc Used	Comment	End Mass	Expected RT	Experiment	Extraction Type	GroupName	Ion Ratio Tolerance	Ion Ratio Used	IS	Lower Lim Calc Conc	Max Tolerance LLOQ	Max Tolerance QC	Max Tolerance Stds	Min Peak Height	Min Peak Width	Name	Noise Percentage	Peak Splitting Factor	Period	Regression Type	Report Largest Peak	Smoothing Width	Start Mass	Units	Update RT	Upper Lim Calc Conc	Use Area
TRUE	TRUE	0.1	TRUE		145.0678013	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na145.0649	100	1	1	Linear	TRUE	3	145.0619987		0		TRUE
TRUE	TRUE	0.1	TRUE		58.06656131	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na58.0654	100	1	1	Linear	TRUE	3	58.06423869		0		TRUE
TRUE	TRUE	0.1	TRUE		145.0663013	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na145.0634	100	1	1	Linear	TRUE	3	145.0604987		0		TRUE
TRUE	TRUE	0.1	TRUE		133.0673613	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na133.0647	100	1	1	Linear	TRUE	3	133.0620387		0		TRUE
TRUE	TRUE	0.1	TRUE		133.0672613	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na133.0646	100	1	1	Linear	TRUE	3	133.0619387		0		TRUE
TRUE	TRUE	0.1	TRUE		95.05100098	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na95.0491	100	1	1	Linear	TRUE	3	95.04719902		0		TRUE
TRUE	TRUE	0.1	TRUE		79.05588109	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na79.0543	100	1	1	Linear	TRUE	3	79.05271891		0		TRUE
TRUE	TRUE	0.1	TRUE		107.051441	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na107.0493	100	1	1	Linear	TRUE	3	107.047159		0		TRUE
TRUE	TRUE	0.1	TRUE		201.1305225	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na201.1265	100	1	1	Linear	TRUE	3	201.1224775		0		TRUE
TRUE	TRUE	0.1	TRUE		58.0662613	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na58.0651	100	1	1	Linear	TRUE	3	58.0639387		0		TRUE
TRUE	TRUE	0.1	TRUE		133.0675613	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na133.0649	100	1	1	Linear	TRUE	3	133.0622387		0		TRUE
