Sample Name	190313-POS-SWATH-HL60-HEK_ValiMix	Blank	Blank
Sample ID			
Sample Type	Unknown	Unknown	Unknown
HMDB0000121+H	6.29226434	N/A	N/A
HMDB0015656+H211.124725	N/A	N/A	N/A
HMDB0015656+H212.126205	N/A	N/A	N/A
HMDB0015656+H141.070236	N/A	N/A	12.23890308
HMDB0015656+H_B	N/A	N/A	N/A
HMDB0015646+Na186.1048	17.63374723	17.4876104	18.00668503
HMDB0015646+Na133.0638	N/A	N/A	17.3955338
HMDB0015646+Na265.1992	N/A	17.9665341	17.96560606
HMDB0015646+Na201.1273	N/A	N/A	N/A
HMDB0015646+Na264.1957	17.96925643	17.97862517	17.95894911
HMDB0015646+Na133.0648	N/A	17.28144803	N/A
HMDB0015646+Na201.1274	N/A	N/A	N/A
HMDB0015646+Na246.1855	17.23226399	18.04976454	17.95421372
HMDB0015646+Na_B	17.92987243	17.94328352	17.85493907
HMDB0015646+Na105.0699	17.65227591	17.27913959	17.78455073
HMDB0015646+Na79.0542	17.52151222	17.53084261	17.51235704
HMDB0015646+Na246.1853	17.23051554	18.0482345	17.95382101
HMDB0015646+Na141.0686	N/A	18.12731969	17.43830806
HMDB0015646+Na58.0653	17.91226124	17.91551713	17.88907376
HMDB0015646+Na159.0805	N/A	17.30448849	18.13111295
HMDB0015646+Na264.1956	17.96920641	17.97868725	17.95894552
HMDB0015646+Na58.0655	17.91203043	17.9153907	17.88910243
HMDB0015646+Na107.0491	N/A	17.78107058	17.53737705
HMDB0015646+Na246.1849	17.45438196	18.04658155	17.95303498
HMDB0015646+Na145.0649	17.81725832	17.84156542	17.81890276
HMDB0015646+Na58.0654	17.91214586	17.91545487	17.88908798
HMDB0015646+Na145.0634	17.81676449	17.83594244	17.82304375
HMDB0015646+Na133.0647	N/A	17.28118489	N/A
HMDB0015646+Na133.0646	N/A	17.28089354	N/A
HMDB0015646+Na95.0491	17.4827428	17.43410472	17.43760957
HMDB0015646+Na79.0543	17.5215909	17.53081163	17.51241224
HMDB0015646+Na107.0493	N/A	17.78157631	17.53815358
HMDB0015646+Na201.1265	N/A	N/A	N/A
HMDB0015646+Na58.0651	17.91249185	17.91563967	17.889046
HMDB0015646+Na133.0649	N/A	17.28170771	N/A
HMDB0015646+Na159.0804	N/A	17.30363828	18.13119502
HMDB0015646+Na145.0648	17.81713656	17.84136654	17.81922886
HMDB0015646+Na247.1879	N/A	N/A	N/A
HMDB0015646+Na264.1955	17.96915006	17.97868697	17.95894189
HMDB0015646+Na121.0645	N/A	17.5275849	17.52400025
HMDB0015646+Na134.0673	17.46246797	17.48383281	17.4592815
HMDB0015646+Na159.0794	N/A	17.28945722	17.52461339
HMDB0015646+Na202.1299	N/A	N/A	N/A
HMDB0015646+Na160.0827	17.27491981	17.29557524	17.46523885
HMDB0015646+Na163.0981	N/A	17.78708247	17.51545613
HMDB0015646+Na164.1057	17.17924844	17.18973107	17.18217939
HMDB0015646+Na201.1275	N/A	N/A	N/A
HMDB0015646+Na115.054	17.52363049	17.51953875	17.51175157
HMDB0015646+Na121.0639	N/A	17.52433059	17.52271651
HMDB0015646+Na246.1848	17.45442585	18.04618189	17.95283862
HMDB0015646+Na201.1266	N/A	N/A	N/A
HMDB0015646+Na131.085	17.52609089	17.53407786	17.51763082
HMDB0015646+Na81.0699	17.42377311	17.793512	17.7759613
HMDB0015646+Na262.1814	N/A	17.54922927	18.13393582
HMDB0015646+Na119.0501	N/A	N/A	N/A
HMDB0015646+Na204.1155	N/A	17.94416014	17.99470301
HMDB0015646+Na262.1812	17.84227746	17.54963553	18.13502897
HMDB0015646+Na185.0971	N/A	17.69439561	N/A
HMDB0015646+Na159.079	N/A	17.28414391	17.52553726
HMDB0015646+Na186.1049	17.63394852	17.48758836	18.0064999
HMDB0015646+Na246.1851	17.45426826	18.04737329	17.9534281
HMDB0015646+Na264.196	17.96918198	17.97605058	17.95897655
HMDB0015646+Na107.0492	N/A	17.78132849	17.5377892
HMDB0015646+Na157.063	N/A	N/A	N/A
HMDB0015646+Na133.064	N/A	17.2795946	17.39595768
HMDB0015646+Na131.0487	N/A	17.82033455	17.81922012
HMDB0015646+Na141.0692	N/A	18.12677543	17.44089758
HMDB0015646+Na115.0539	17.52398274	17.51986274	17.51121689
HMDB0015646+Na144.056	N/A	N/A	N/A
HMDB0015646+Na131.0484	N/A	17.82019537	17.81952421
HMDB0015646+Na129.0691	17.27698279	17.28076981	17.26736809
HMDB0015646+Na127.0538	N/A	17.26907564	17.37643382
HMDB0015646+Na121.0638	N/A	17.52372658	17.52246416
HMDB0015646+Na117.0694	17.53246104	17.53620292	17.51357331
HMDB0015646+Na116.0608	18.11982127	17.79490392	17.7739982
HMDB0015646+Na147.0788	17.28349345	17.28095541	17.26885474
HMDB0015646+Na163.0979	N/A	17.78761283	17.51563836
HMDB0015646+Na159.0795	N/A	17.290912	17.37627202
HMDB0015646+Na149.0823	17.52559887	N/A	17.50791952
HMDB0015646+Na131.0844	17.52587564	17.53339604	17.51773322
HMDB0015646+Na145.0637	17.81645756	17.83755999	17.82256101
HMDB0015646+Na144.0557	N/A	N/A	N/A
HMDB0015646+Na246.1852	17.45420952	18.04776788	17.95362458
HMDB0015646+Na132.0556	N/A	17.8529954	17.83617183
HMDB0015646+Na169.0742	N/A	17.25817005	17.79655918
HMDB0015646+Na145.0635	17.81665144	17.83648667	17.82291459
HMDB0015646+Na134.0671	17.46185417	17.48376642	17.45865997
HMDB0015646+Na147.0791	17.28399904	17.2808253	17.26899434
HMDB0015646+Na149.0822	17.52543726	N/A	17.50765291
HMDB0015646+Na133.0639	N/A	N/A	17.39574201
HMDB0015646+Na155.0595	17.4801919	17.89162341	N/A
HMDB0015646+Na246.1856	17.23296697	18.05054766	17.95440999
HMDB0015646+Na246.1859	17.23501135	18.05283895	17.95499851
HMDB0015646+Na264.1962	17.96910351	17.97572224	17.95899085
HMDB0015646+Na58.0652	17.91237657	17.91557904	17.88905977
HMDB0015646+Na107.049	N/A	17.7809751	17.53702895
HMDB0015646+Na134.0674	17.46275487	17.48379891	17.45942466
HMDB0015646+NH479.0542	N/A	N/A	N/A
HMDB0015646+NH4246.1855	8.146604014	7.955343419	N/A
HMDB0015646+NH4246.1853	8.14683486	7.955316809	N/A
HMDB0015646+NH4201.1273	N/A	N/A	N/A
HMDB0015646+NH4264.1957	8.112282448	N/A	N/A
HMDB0015646+NH4201.1274	N/A	N/A	N/A
HMDB0015646+NH4133.0648	N/A	N/A	N/A
HMDB0015646+NH4105.0699	N/A	N/A	N/A
HMDB0015646+NH4145.0648	N/A	N/A	N/A
HMDB0015646+NH4264.1962	8.112666553	N/A	N/A
HMDB0015646+NH458.0652	N/A	N/A	N/A
HMDB0015646+NH458.0651	N/A	N/A	N/A
HMDB0015646+NH4159.0805	8.587726787	8.502424296	N/A
HMDB0015646+NH4159.0804	8.587782329	8.502264032	N/A
HMDB0015646+NH4246.1856	8.146488211	7.955356686	N/A
HMDB0015646+NH4133.0649	N/A	N/A	N/A
HMDB0015646+NH4107.0492	N/A	N/A	N/A
HMDB0015646+NH4107.0493	N/A	N/A	N/A
HMDB0015646+NH4246.1859	8.146139277	7.955396335	N/A
HMDB0015646+NH458.0655	N/A	N/A	N/A
HMDB0015646+NH458.0653	N/A	N/A	N/A
HMDB0015646+NH4202.1299	N/A	N/A	N/A
HMDB0015646+NH479.0543	N/A	N/A	N/A
HMDB0015646+NH495.0491	N/A	N/A	N/A
HMDB0015646+NH4133.0646	N/A	N/A	N/A
HMDB0015646+NH4133.0647	N/A	N/A	N/A
HMDB0015646+NH4145.0649	N/A	N/A	N/A
HMDB0015646+NH4163.0981	N/A	N/A	N/A
HMDB0015646+NH4160.0827	8.596653025	7.930726353	8.580062881
HMDB0015646+NH4159.0794	N/A	8.5006202	N/A
HMDB0015646+NH4141.0686	7.847591058	7.822725648	N/A
HMDB0015646+NH4134.0673	8.418434554	7.663588258	N/A
HMDB0015646+NH4246.1849	8.147293542	7.955286373	N/A
HMDB0015646+NH4107.0491	N/A	N/A	N/A
HMDB0015646+NH4247.1879	N/A	N/A	N/A
HMDB0015646+NH4264.1956	8.112058276	N/A	N/A
HMDB0015646+NH4121.0645	8.221125422	N/A	N/A
HMDB0015646+NH4264.1955	8.111983833	N/A	N/A
HMDB0015646+NH458.0654	N/A	N/A	N/A
HMDB0015646+NH4246.1852	8.146949906	7.955306641	N/A
HMDB0015646+NH4246.1848	8.147407589	7.955279604	N/A
HMDB0015646+NH4149.0823	8.231344519	8.01174278	8.38475229
HMDB0015646+NH4133.0638	N/A	N/A	N/A
HMDB0015646+NH4265.1992	8.026596101	8.245001432	8.126815498
HMDB0015646+NH4264.196	8.112516118	N/A	N/A
HMDB0015646+NH4246.1851	8.1470647	7.955299892	N/A
HMDB0015646+NH4186.1049	8.361808104	N/A	7.675273512
HMDB0015646+NH4159.079	N/A	8.50078331	N/A
HMDB0015646+NH4145.0637	N/A	8.040354735	8.375775892
HMDB0015646+NH4131.0844	N/A	N/A	N/A
HMDB0015646+NH4185.0971	8.341653992	N/A	7.902201873
HMDB0015646+NH4262.1812	7.653869658	8.044034855	8.076227637
HMDB0015646+NH4186.1048	8.361634839	N/A	N/A
HMDB0015646+NH4119.0501	8.532996891	N/A	N/A
HMDB0015646+NH4_B	8.114530196	N/A	N/A
HMDB0015646+NH4159.0795	8.588234025	8.50083229	N/A
HMDB0015646+NH4131.0487	N/A	N/A	N/A
HMDB0015646+NH4262.1814	7.653821982	8.044245219	8.076108771
HMDB0015646+NH481.0699	N/A	N/A	N/A
HMDB0015646+NH4131.085	N/A	N/A	N/A
HMDB0015646+NH4201.1266	N/A	N/A	N/A
HMDB0015646+NH4121.0639	8.221055816	N/A	N/A
HMDB0015646+NH4115.054	7.844126125	N/A	N/A
HMDB0015646+NH4201.1275	N/A	N/A	N/A
HMDB0015646+NH4164.1057	8.527758147	N/A	N/A
HMDB0015646+NH4163.0979	N/A	N/A	N/A
HMDB0015646+NH4147.0788	8.221289205	N/A	N/A
HMDB0015646+NH4116.0608	N/A	N/A	N/A
HMDB0015646+NH4117.0694	N/A	N/A	N/A
HMDB0015646+NH4121.0638	8.221025458	N/A	N/A
HMDB0015646+NH4145.0634	N/A	8.039657604	8.37532911
HMDB0015646+NH4204.1155	8.240132605	8.232243658	8.400604715
HMDB0015646+NH4201.1265	N/A	N/A	N/A
HMDB0015646+NH4115.0539	7.844399497	N/A	N/A
HMDB0015646+NH4133.064	N/A	N/A	N/A
HMDB0015646+NH4131.0484	N/A	N/A	N/A
HMDB0015646+NH4129.0691	N/A	N/A	N/A
HMDB0015646+NH4107.049	N/A	N/A	N/A
HMDB0015646+NH4134.0674	8.418375493	7.663537064	N/A
HMDB0015646+NH4145.0635	N/A	8.039826678	8.375440726
HMDB0015646+NH4169.0742	8.494791179	N/A	N/A
HMDB0015646+NH4133.0639	N/A	N/A	N/A
HMDB0015646+NH4132.0556	N/A	N/A	8.334719865
HMDB0015646+NH4127.0538	N/A	8.514216332	N/A
HMDB0015646+NH4155.0595	7.69724899	N/A	7.726056536
HMDB0015646+NH4144.0557	N/A	N/A	N/A
HMDB0015646+NH4149.0822	8.230810875	8.012148107	8.384780502
HMDB0015646+NH4147.0791	8.221418645	N/A	N/A
HMDB0015646+NH4134.0671	8.418550908	7.663688758	N/A
HMDB0015646+NH4144.056	N/A	N/A	N/A
HMDB0015646+NH4141.0692	N/A	7.823729111	N/A
HMDB0015646+NH4157.063	N/A	N/A	N/A
HMDB0015636+NH4154.077881	8.223174594	7.866937188	8.084413215
HMDB0015636+NH4155.085388	7.746965055	N/A	N/A
HMDB0015636+NH4186.100128	7.877077968	N/A	N/A
HMDB0015636+NH4185.097229	8.342494281	N/A	7.902306374
HMDB0015636+NH4153.070602	8.343888335	N/A	N/A
HMDB0015636+NH4202.122681	7.84271217	N/A	N/A
HMDB0015636+NH4_B	7.946805071	7.626090108	8.375075748
HMDB0015636+NH4170.073318	8.339906802	7.947595562	8.204050806
HMDB0015636+NH4244.133301	7.527182556	N/A	7.828039846
HMDB0015636+H153.070602	7.326422126	7.195380898	N/A
HMDB0015636+H185.097229	N/A	6.89416454	N/A
